	S06C001	S07C001	S08C001	S09C001	S14C001	S15C001	S16C001	S17C001	S18C001	S19C001	S20C001	S21C001	S22C001	S23C001	S24C001	S26C001	S28C001	S29C001	S30C001	S31C001	S32C001	S33C001	S34C001	S35C001	S37C001	S47C001	S49C001	S51C001	S52C001	S53C001	S54C001	S55C001	S56C001	S57C001	S58C001	S60C001	S61C001	S63C001	S64C001	S66C001	S67C001	S68C001	S69C001	S70C001
scaffold10|size39744	8.617149758454106	4.525513285024155	14.547227254428341	5.356053743961352	2.4782608695652173	15.119363929146537	3.972121578099839	13.134712157809984	2.389039855072464	8.920717592592593	9.590277777777779	1.179674919484702	5.152928743961352	3.3004730273752014	5.367275563607086	6.911810587761675	6.385718599033816	15.25991344605475	2.8918830515297906	10.685663244766506	8.437072262479871	13.370294887278583	4.164930555555555	10.522368156199677	1.1549919484702094	1.9417522141706924	0.9770783011272142	8.047805958132045	3.370999396135266	15.40174617552335	10.739734299516908	1.0565368357487923	13.754730273752013	5.597926731078905	21.63491344605475	43.47780797101449	22.774028784219002	13.905218397745571	6.927360104669887	19.007497987117553	15.548711755233494	10.275790056360709	0.0	19.28799315619968
scaffold110|size14969	14.761306700514396	9.362081635379784	23.9497628432093	9.451399559088783	5.252254659629902	19.45246843476518	8.022379584474582	24.312712940076157	5.776671788362616	24.599639254459216	20.337096666443983	1.9789565101209166	9.804061727570312	8.143964192664841	12.704188656556884	16.687353864653616	15.001803727703921	21.179437504175297	8.919233081702185	23.873872670185047	17.626962388937137	27.671387534237425	12.040283252054245	21.044224731110962	3.311443650210435	6.7993853964860715	1.7727303093058988	14.365421871868529	7.167880285924244	28.100006680472976	21.338499565769258	2.8488208965194737	20.63731712205224	8.274367025185382	31.600173692297414	53.260271227202885	30.591956710535104	21.083505912218584	8.405437905003675	23.257799452201215	21.505177366557554	12.385530095530763	0.006279644598837598	22.734651613334226
scaffold111|size14875	20.41546218487395	5.961344537815126	24.49781512605042	11.833546218487395	3.2969411764705883	20.350252100840336	13.280470588235294	18.262857142857143	6.586554621848739	17.581848739495797	20.555495798319328	3.3879663865546217	19.435764705882352	14.255529411764705	25.114285714285714	34.922621848739496	28.020302521008404	27.062991596638657	4.7291428571428575	12.442621848739496	27.137747899159663	27.24598319327731	11.58218487394958	13.862991596638656	1.5139495798319327	6.837176470588235	1.5400336134453783	4.58709243697479	7.800201680672269	21.406655462184872	20.808806722689077	3.2257478991596638	20.522621848739497	5.87072268907563	19.102050420168066	33.79374789915966	19.355966386554623	21.639865546218488	8.578957983193277	15.546151260504201	13.756369747899159	7.987697478991596	0.0	13.386420168067227
scaffold112|size14848	27.84705010775862	5.218817349137931	30.409280711206897	14.492995689655173	3.1509967672413794	21.935816271551722	16.20642510775862	24.527545797413794	5.966460129310345	30.573477909482758	26.706963900862068	3.0652613146551726	30.938510237068964	13.701306573275861	41.98565463362069	59.031384698275865	47.14769665948276	41.56869612068966	5.972117456896552	16.992254849137932	47.87533674568966	34.09112338362069	13.018386314655173	17.564520474137932	2.2196928879310347	7.822198275862069	2.013739224137931	1.363415948275862	7.935748922413793	31.552464978448278	27.634563577586206	3.771484375	17.776468211206897	4.57421875	25.97838092672414	47.82260237068966	29.75336745689655	28.15180495689655	7.754377693965517	22.188712284482758	14.530778556034482	10.089439655172415	0.0	17.267914870689655
scaffold113|size14713	6.378236933324271	0.6466390267110719	7.365934887514443	2.489023312716645	0.1903078909807653	3.317134506898661	3.3646435125399305	4.838034391354585	0.5204241147284714	6.979541901719568	5.991572079113709	0.29810371780058453	8.702643920342554	3.5113165228029635	13.930061850064568	15.039420920274587	17.696255012573914	14.246992455651466	0.3545164140555971	3.3815673214164343	13.809012437980018	7.475429891932305	1.9241487120233807	5.210018351118059	0.12437980017671448	1.0534901107863794	0.079113708964861	0.4211921430027867	1.3906069462380208	7.94406307347244	7.497315299395093	0.37123632162033576	4.804118806497655	0.4050159722694216	7.893291646842928	13.70563447291511	7.7135186569700265	8.4920138652892	1.7666009651328758	5.771698497927003	2.458030313328349	1.458506083055801	0.0	3.8737850880173994
scaffold114|size14627	0.3358173241266152	0.023859984959321803	0.6142749709441444	0.037601695494633214	0.0	0.4058248444657141	0.09482463936555685	0.3148287413687017	0.08539003213235796	0.44103370479250703	0.16797702878238874	0.01476721132152868	0.47214056197443083	0.0923634374786354	0.3798454912148766	0.8818623094277706	0.4771313324673549	1.306829835236207	0.02324468448759144	0.2108429616462706	0.8177343269296506	1.0633075818691462	0.05537704245573255	0.11054898475422165	0.0	0.6528338005059138	0.23053257674164218	0.6096260340466261	0.22478977233882547	3.288302454365215	5.765228686675327	1.3010870308333904	6.57188760511383	3.9066110617351475	6.851712586312983	23.905859027825255	12.524782935666916	17.37410268681206	5.995419429821563	15.997333697955835	13.008682573323306	9.216654132768168	0.0	19.682915156901622
scaffold115|size14509	26.398993728030877	13.495830174374527	30.391067613205596	12.048108070852575	5.19684333861741	16.371493555724033	10.303811427389896	26.597491212350956	5.132676269901441	22.972430904955544	15.975325659935212	1.5772968502308913	16.79771176511131	8.45371838169412	23.775656489075747	28.759390722999516	26.53546074850093	27.155834309738783	4.614652974016128	13.29554069887656	23.272865118202496	24.454062995382177	5.855124405541388	22.372665242263423	0.6482872699703632	3.8332069749810462	0.5480046867461575	6.950651319870425	2.3636363636363638	14.381487352677649	13.61534220139224	0.538217658005376	10.201254393824522	1.956509752567372	15.110552071128264	24.990833275897717	10.799434833551588	10.325659935212627	2.1241987731752707	7.737680060652009	6.358191467365084	4.126335378041216	0.0	7.153353091184782
scaffold116|size14483	19.389422081060555	8.26734792515363	23.37816750673203	8.205689428985707	3.5567907201546642	14.846993026306704	10.849409652696265	24.2105917282331	4.503970171925706	24.692190844438308	16.910653870054546	1.4347165642477386	17.98177173237589	8.365601049506317	23.83083615273079	29.174963750604157	26.001449975833737	28.730166401988537	4.393841055030035	16.41918110888628	23.234136573914245	24.91624663398467	7.552440792653456	19.250017261617067	0.7985224055789546	4.472899261202789	0.5891044673064972	2.6650555824069597	3.6821791065387006	19.008354622661052	19.14983083615273	1.376993716771387	12.71090243734033	4.287302354484568	21.721604639922667	33.71014292618933	18.654422426292896	17.374093765103915	4.173168542429055	12.707657253331492	9.973071877373473	7.127114548090865	0.0	13.109162466339846
scaffold117|size14473	20.814827610032474	13.194016444413736	25.22275962136392	7.764388862018932	4.854418572514337	14.06791957437988	8.436260623229462	32.91646514198853	6.381399847992814	27.180473986042976	16.566364955434256	1.0749671802667036	14.598148276100325	6.593518966351136	26.09583362122573	25.326124507704	29.6384301803358	26.999654529123195	6.4920196227458025	25.02176466523872	23.913563186623367	29.56712499136323	7.332135700960409	29.615076349063774	1.9801008774960271	8.122020313687557	0.6912181303116147	10.95039038209079	3.4279693221861396	26.892282180612174	27.09431354936779	0.9909486630277068	12.95439784426173	4.777240378636081	37.313687556139016	41.06287569957853	23.836730463621915	21.56387756512126	4.754301112416223	13.381399847992814	19.998825399018862	11.005734816554964	0.0	16.030125060457404
scaffold118|size14407	6.601304921218852	1.2241965711112655	6.838620115221767	3.5204414520719096	0.47539390574026513	4.974387450544874	2.174220864857361	5.773651697091691	1.048101617269383	9.360102727840633	6.4701881030054835	0.2954813632262095	8.479558547928091	3.4413132505032276	11.552925661136948	13.801693621156382	15.725619490525439	13.285139168459777	0.776358714513778	4.60422017075033	14.170958561810231	7.452349552300965	2.4320122162837507	5.047407510238079	0.17789963212327342	1.0998820018046782	0.5212743805094746	2.414659540501145	1.2703546886929964	7.7521343791212605	7.073505934615118	0.8640244325675019	6.5278683973068645	0.5504962865273825	7.779065731935865	15.043867564378427	6.824460331783161	8.71250086763379	1.7066703685708335	4.708544457555355	3.9335739571041857	1.457624765738877	0.0	3.7058374401332688
